id,human_readable_id,source,target,description,weight,combined_degree,text_unit_ids
6cdf094e-27ce-4f3f-8484-acbd89fda7d2,12,HTML模組,模式切換設計,HTML模組的設計支持模式切換，提升使用者體驗。,7.0,7,['4111f3a3f3948d16762a2ae57eb53a21de0d19d9465687f4f5c82b20ba894589c9fb520843b82c5ee9300d4cd57517c53980be4f7d8273ab0b39e77f0e1ce1a2']
30616e46-7f01-4d7d-aa4b-3d0131e0e56a,13,JS的操作舞台,待辦事項列表容器,待辦事項列表容器是JS動態生成內容的主要掛載點。,8.0,3,['4111f3a3f3948d16762a2ae57eb53a21de0d19d9465687f4f5c82b20ba894589c9fb520843b82c5ee9300d4cd57517c53980be4f7d8273ab0b39e77f0e1ce1a2']
d133552d-b090-4ad9-86dd-492713f79184,14,主應用容器,TODOLIST,主應用容器使用todoList作為唯一ID，確保其獨特性。,9.0,9,['4111f3a3f3948d16762a2ae57eb53a21de0d19d9465687f4f5c82b20ba894589c9fb520843b82c5ee9300d4cd57517c53980be4f7d8273ab0b39e77f0e1ce1a2']
c886ac68-09aa-4028-b2b3-37620acdc590,15,主應用容器,TODO-FORM,todo-form是主應用容器的一部分，提供使用者互動入口。,1.0,8,['4111f3a3f3948d16762a2ae57eb53a21de0d19d9465687f4f5c82b20ba894589c9fb520843b82c5ee9300d4cd57517c53980be4f7d8273ab0b39e77f0e1ce1a2']
6bef5e02-c8e3-4922-b5c9-2aceeaac2d24,16,表單區域,SUBMIT事件,表單區域透過submit事件觸發資料新增。,8.0,2,['4111f3a3f3948d16762a2ae57eb53a21de0d19d9465687f4f5c82b20ba894589c9fb520843b82c5ee9300d4cd57517c53980be4f7d8273ab0b39e77f0e1ce1a2']
23ed8ca1-6914-4995-acb7-22d911f2d131,17,TODOLIST,TODO-CARD,todo-card使用todoList作為容器，動態生成待辦事項。,7.0,16,['4111f3a3f3948d16762a2ae57eb53a21de0d19d9465687f4f5c82b20ba894589c9fb520843b82c5ee9300d4cd57517c53980be4f7d8273ab0b39e77f0e1ce1a2']
87b153e1-1065-49e6-80f5-d0ed57987d1c,18,TODO-FORM,SUBMIT,TODO-FORM 透過 SUBMIT 事件觸發資料新增,8.0,8,['c803e19690701925964c557173b383a13641796902a850be18adfa59926358f9c9d882b9c1f11056d3f5ae39a06a3063ba3aee9f5eb44d21fe5e53f64ffe32fa']
51109e25-6514-4f1b-9313-95393e098337,19,TODO-FORM,TODO-LIST,"TODO-FORM 和 TODO-LIST 是一組相互關聯的工具，旨在幫助用戶管理和組織待辦事項。TODO-FORM 提供了一個用戶友好的介面，讓用戶可以方便地輸入他們的資料。這些資料隨後會被顯示在 TODO-LIST 中，形成一個清晰的待辦事項列表。

TODO-LIST 則是待辦事項的顯示區域，專門用來展示用戶所添加的各項待辦事項。這個列表不僅能夠幫助用戶追蹤他們的任務，還能夠提高工作效率，因為用戶可以一目了然地看到所有需要完成的事項。

總結來說，TODO-FORM 和 TODO-LIST 共同構成了一個完整的待辦事項管理系統，前者負責資料的輸入，後者則負責資料的展示，兩者協同運作，為用戶提供了一個高效的任務管理解決方案。",13.0,10,"['c803e19690701925964c557173b383a13641796902a850be18adfa59926358f9c9d882b9c1f11056d3f5ae39a06a3063ba3aee9f5eb44d21fe5e53f64ffe32fa'
 '43f03a51c7f9a85ee9802c15a12a9fcdf1c1b9df6602468789ae95e2702de7007d2005e427a79dc096ec026a400c0929edb0e22819e51c562c81a476cb158f0a']"
242c4d37-b212-4c09-950a-9d33b6cbc1bc,20,TODO-LIST,TODO-CARD,TODO-LIST 是待辦事項卡片的掛載點，卡片將動態生成並插入此處,9.0,13,['c803e19690701925964c557173b383a13641796902a850be18adfa59926358f9c9d882b9c1f11056d3f5ae39a06a3063ba3aee9f5eb44d21fe5e53f64ffe32fa']
e09eb14b-b472-4975-bea5-11310ef29404,21,TODO-CARD,FORM-BUTTONS,TODO-CARD 包含 FORM-BUTTONS，提供編輯、儲存、取消和刪除功能,1.0,10,['c803e19690701925964c557173b383a13641796902a850be18adfa59926358f9c9d882b9c1f11056d3f5ae39a06a3063ba3aee9f5eb44d21fe5e53f64ffe32fa']
f2892215-6935-435c-a730-344bff6c8455,22,CSS 模組,HTML 結構,CSS 模組負責實現 HTML 結構的佈局邏輯，並與其協作,8.0,6,['099e48ab87d75239d388a1fb13a0dad87648f0371119f0a8cd5b482cd71f98698c7c4c4dabdd3543e5ca3d34fadd44bcac92212ff374398a40fac1eaf512127f']
6370ae1b-d492-4a74-8f13-8792358eaa01,23,CSS 模組,JAVASCRIPT,CSS 模組與 JavaScript 協作進行狀態切換,7.0,7,['099e48ab87d75239d388a1fb13a0dad87648f0371119f0a8cd5b482cd71f98698c7c4c4dabdd3543e5ca3d34fadd44bcac92212ff374398a40fac1eaf512127f']
f0c68f53-c054-4ac8-b01b-76d86fe96598,24,CSS 模組,防禦性設計,防禦性設計是 CSS 模組的一部分，旨在建立穩定的佈局系統,6.0,5,['099e48ab87d75239d388a1fb13a0dad87648f0371119f0a8cd5b482cd71f98698c7c4c4dabdd3543e5ca3d34fadd44bcac92212ff374398a40fac1eaf512127f']
8fa97447-4c6f-4c59-87d7-84e100eeb9fe,25,CSS 模組,網格系統,網格系統是 CSS 模組的一部分，確保響應式設計,6.0,5,['099e48ab87d75239d388a1fb13a0dad87648f0371119f0a8cd5b482cd71f98698c7c4c4dabdd3543e5ca3d34fadd44bcac92212ff374398a40fac1eaf512127f']
9d83f60b-133f-4ad3-a139-a5b70610ce44,26,JAVASCRIPT,視覺狀態機,視覺狀態機依賴於 JavaScript 來控制狀態切換,7.0,4,['099e48ab87d75239d388a1fb13a0dad87648f0371119f0a8cd5b482cd71f98698c7c4c4dabdd3543e5ca3d34fadd44bcac92212ff374398a40fac1eaf512127f']
98c1654b-9483-4804-94f8-cf9904c9fdd7,27,FLEX,FLEX-DIRECTION,flex 屬性與 flex-direction 屬性共同作用於彈性佈局,5.0,4,['099e48ab87d75239d388a1fb13a0dad87648f0371119f0a8cd5b482cd71f98698c7c4c4dabdd3543e5ca3d34fadd44bcac92212ff374398a40fac1eaf512127f']
c8f17ad1-1b3e-4fdc-81bd-1a66fccde314,28,FLEX,DISPLAY,display 屬性用於設置元素的顯示方式，與 flex 屬性協作,5.0,4,['099e48ab87d75239d388a1fb13a0dad87648f0371119f0a8cd5b482cd71f98698c7c4c4dabdd3543e5ca3d34fadd44bcac92212ff374398a40fac1eaf512127f']
5142bdaf-dfab-43c8-a852-d6f812d21e25,29,TODO-CARD,VIEW-MODE,todo-card 使用 view-mode 來顯示檢視模式,6.0,11,['099e48ab87d75239d388a1fb13a0dad87648f0371119f0a8cd5b482cd71f98698c7c4c4dabdd3543e5ca3d34fadd44bcac92212ff374398a40fac1eaf512127f']
fd30e7b2-efbf-4129-9514-fe0d16a84f2a,30,TODO-CARD,EDIT-MODE,todo-card 使用 edit-mode 來顯示編輯模式,6.0,11,['099e48ab87d75239d388a1fb13a0dad87648f0371119f0a8cd5b482cd71f98698c7c4c4dabdd3543e5ca3d34fadd44bcac92212ff374398a40fac1eaf512127f']
c40066e1-7252-4b20-b674-99ac4f8d5684,31,TODO-CARD,CARD-BUTTONS,TODO-CARD 和 CARD-BUTTONS 是相關的實體，其中 CARD-BUTTONS 是 TODO-CARD 的一部分。CARD-BUTTONS 位於待辦事項卡片的底部，並包含多個操作按鈕，這些按鈕用於執行與待辦事項相關的各種操作。這樣的設計使得用戶能夠方便地管理和操作待辦事項，提升了使用體驗。總體而言，CARD-BUTTONS 在 TODO-CARD 中扮演著重要的角色，提供了必要的功能以支持用戶的需求。,13.0,11,"['099e48ab87d75239d388a1fb13a0dad87648f0371119f0a8cd5b482cd71f98698c7c4c4dabdd3543e5ca3d34fadd44bcac92212ff374398a40fac1eaf512127f'
 '43f03a51c7f9a85ee9802c15a12a9fcdf1c1b9df6602468789ae95e2702de7007d2005e427a79dc096ec026a400c0929edb0e22819e51c562c81a476cb158f0a']"
49abbb6a-8801-42f7-b81e-2b35105b04e7,32,EDIT,SAVE,edit 按鈕顯示時，save 按鈕隱藏，反之亦然,8.0,7,['099e48ab87d75239d388a1fb13a0dad87648f0371119f0a8cd5b482cd71f98698c7c4c4dabdd3543e5ca3d34fadd44bcac92212ff374398a40fac1eaf512127f']
a1810341-7c11-4f6b-9922-dd527779e343,33,EDIT,CANCEL,edit 按鈕顯示時，cancel 按鈕隱藏，反之亦然,1.0,7,['099e48ab87d75239d388a1fb13a0dad87648f0371119f0a8cd5b482cd71f98698c7c4c4dabdd3543e5ca3d34fadd44bcac92212ff374398a40fac1eaf512127f']
9fe671a9-52e4-4a1a-8cf5-bfd6910bbf23,34,EDIT MODE,SAVE BUTTON,編輯模式下顯示儲存按鈕以確認用戶的修改,8.0,11,['d45d9c09a839c13b666c0cbca19cd91ab417654db3d7bc479620ef11eaf46c247db219286d76dec4f5fc8b1d271cc3792f7d328a25b41ac42a1e660219674084']
f8b906e7-99fb-4243-b09a-c1a36dd98aaf,35,EDIT MODE,CANCEL BUTTON,編輯模式下顯示取消按鈕以放棄用戶的修改,8.0,11,['d45d9c09a839c13b666c0cbca19cd91ab417654db3d7bc479620ef11eaf46c247db219286d76dec4f5fc8b1d271cc3792f7d328a25b41ac42a1e660219674084']
5be43a04-16b7-415f-874a-f0f519499d8d,36,SAVE BUTTON,BUTTON COLOR SYSTEM,按鈕色彩系統為儲存按鈕設定了淡綠色背景以暗示確認操作,6.0,7,['d45d9c09a839c13b666c0cbca19cd91ab417654db3d7bc479620ef11eaf46c247db219286d76dec4f5fc8b1d271cc3792f7d328a25b41ac42a1e660219674084']
e0e2f2fc-979f-4290-a4c3-b8d21472b669,37,CANCEL BUTTON,BUTTON COLOR SYSTEM,按鈕色彩系統為取消按鈕設定了淡藍色背景以暗示放棄操作,1.0,7,['d45d9c09a839c13b666c0cbca19cd91ab417654db3d7bc479620ef11eaf46c247db219286d76dec4f5fc8b1d271cc3792f7d328a25b41ac42a1e660219674084']
7e09922f-bc66-4ba4-a808-dadf48658a96,38,TODO LIST,TODO CARD,待辦事項列表（TODO LIST）是一個包含多個待辦事項卡片（TODO CARD）的系統。每個待辦事項卡片代表一個具體的待辦事項，並且在列表中以靈活的布局自動排列。這種設計使得使用者能夠清晰地查看和管理他們的待辦事項，每個卡片都顯示一個待辦事項的詳細信息。透過這種方式，待辦事項列表提供了一個有組織且易於使用的界面，幫助使用者有效地追蹤和完成他們的任務。,34.0,23,"['d45d9c09a839c13b666c0cbca19cd91ab417654db3d7bc479620ef11eaf46c247db219286d76dec4f5fc8b1d271cc3792f7d328a25b41ac42a1e660219674084'
 '6080da6318db19acb1b01c7aa07287d2021f2deaee82707c9a061f6ebb463bc18786725b2733fee119626f91580bc12bfc1308beb8fcb3b87f9c9f260a2ea5d6'
 '3f1201cf8acd113a3f95f9bf1fcbcf52b2419e1fd24478ada6f84259ebab3a3cb73eb8cc9c82f34912dc92f1583450302cb793c06cdaaec6264eaa8aa2b51f90'
 '71c87aca16b762ffc4deee532606a3e3b7790db340892ec2eed4b5c78c34a6b2b65e6b5600664d3d7c6bbc518fa48bfeb6ab6b653826d10f97c7ff1ef1c903ed']"
622ab02f-1ab2-4621-bc26-692cc46642f5,39,TODO LIST,GAP PROPERTY,待辦事項列表使用gap屬性來控制卡片之間的間距,7.0,15,['d45d9c09a839c13b666c0cbca19cd91ab417654db3d7bc479620ef11eaf46c247db219286d76dec4f5fc8b1d271cc3792f7d328a25b41ac42a1e660219674084']
0332107c-afae-4e68-8a5d-0451dc867c0d,40,TODO CARD,BOX SHADOW,待辦事項卡片使用box-shadow屬性來增強視覺層次感,6.0,12,['d45d9c09a839c13b666c0cbca19cd91ab417654db3d7bc479620ef11eaf46c247db219286d76dec4f5fc8b1d271cc3792f7d328a25b41ac42a1e660219674084']
6a7937fe-89ae-4c93-80a4-dae3cc4b2c4e,41,SPACING MANAGEMENT,GAP PROPERTY,空間管理技術使用gap屬性來創造一致的間距,7.0,3,['d45d9c09a839c13b666c0cbca19cd91ab417654db3d7bc479620ef11eaf46c247db219286d76dec4f5fc8b1d271cc3792f7d328a25b41ac42a1e660219674084']
51db2130-780b-4684-93b6-6b21c55156bb,42,BOX SHADOW,BODY BACKGROUND,body背景與卡片的陰影效果形成對比，增強可讀性,5.0,3,['d45d9c09a839c13b666c0cbca19cd91ab417654db3d7bc479620ef11eaf46c247db219286d76dec4f5fc8b1d271cc3792f7d328a25b41ac42a1e660219674084']
21432a7e-3c9c-4623-8703-3cec0d31f527,43,按鈕色彩系統,編輯按鈕,編輯按鈕的顏色是按鈕色彩系統的一部分，暗示信息修改的功能,8.0,5,['01efe28d0e08e37c1924dd7533dfb367c1ac4af9cc65943cc1eabf88f5dcfbdc8cf5c4f4cc2281b1f4841d39fd9ba04c98d073f02d2324a3f2a55e344880a9fa']
0ce637dd-5360-4375-9319-fb351940b8c3,44,按鈕色彩系統,儲存按鈕,儲存按鈕的顏色是按鈕色彩系統的一部分，暗示確認操作的功能,8.0,5,['01efe28d0e08e37c1924dd7533dfb367c1ac4af9cc65943cc1eabf88f5dcfbdc8cf5c4f4cc2281b1f4841d39fd9ba04c98d073f02d2324a3f2a55e344880a9fa']
a60bd1ec-f634-4b47-b6eb-b9858a91325c,45,按鈕色彩系統,取消按鈕,取消按鈕的顏色是按鈕色彩系統的一部分，暗示中性操作的功能,8.0,5,['01efe28d0e08e37c1924dd7533dfb367c1ac4af9cc65943cc1eabf88f5dcfbdc8cf5c4f4cc2281b1f4841d39fd9ba04c98d073f02d2324a3f2a55e344880a9fa']
332a29d1-bbbf-406a-9424-4ce481bc51fe,46,按鈕色彩系統,刪除按鈕,刪除按鈕的顏色是按鈕色彩系統的一部分，暗示警告或危險操作的功能,8.0,5,['01efe28d0e08e37c1924dd7533dfb367c1ac4af9cc65943cc1eabf88f5dcfbdc8cf5c4f4cc2281b1f4841d39fd9ba04c98d073f02d2324a3f2a55e344880a9fa']
ee40f290-fb9e-4da3-8a37-7244987b7de2,47,表單與卡片的設計一致性,共享特徵,共享特徵是表單和卡片設計一致性的基礎，建立視覺連貫性,7.0,4,['01efe28d0e08e37c1924dd7533dfb367c1ac4af9cc65943cc1eabf88f5dcfbdc8cf5c4f4cc2281b1f4841d39fd9ba04c98d073f02d2324a3f2a55e344880a9fa']
393d06d4-9e2c-4e06-bfef-f1d274001e08,48,表單與卡片的設計一致性,差異化設計,差異化設計突顯了表單的重要性，進一步強化設計一致性,7.0,4,['01efe28d0e08e37c1924dd7533dfb367c1ac4af9cc65943cc1eabf88f5dcfbdc8cf5c4f4cc2281b1f4841d39fd9ba04c98d073f02d2324a3f2a55e344880a9fa']
9593e223-8c41-4ef7-8c33-aa2c7e09619e,49,表單與卡片的設計一致性,視覺統一,視覺統一使得用戶能夠理解這些元素都是可交互的容器，增強使用體驗,7.0,4,['01efe28d0e08e37c1924dd7533dfb367c1ac4af9cc65943cc1eabf88f5dcfbdc8cf5c4f4cc2281b1f4841d39fd9ba04c98d073f02d2324a3f2a55e344880a9fa']
22a2c5f0-4a3d-48d2-a095-1dddcc6f0446,50,輸入控件的一致性處理,使用體驗,一致的輸入欄位設計提升了整體使用體驗,8.0,2,['01efe28d0e08e37c1924dd7533dfb367c1ac4af9cc65943cc1eabf88f5dcfbdc8cf5c4f4cc2281b1f4841d39fd9ba04c98d073f02d2324a3f2a55e344880a9fa']
fda0ae21-6198-432f-bf46-2f28a8f39359,51,CSS與JAVASCRIPT的協作關係,狀態切換依賴,狀態切換依賴於JavaScript對CSS樣式的修改,9.0,5,['01efe28d0e08e37c1924dd7533dfb367c1ac4af9cc65943cc1eabf88f5dcfbdc8cf5c4f4cc2281b1f4841d39fd9ba04c98d073f02d2324a3f2a55e344880a9fa']
5b48c170-dfae-43b5-ad9f-3f6aeca2c52e,52,CSS與JAVASCRIPT的協作關係,按鈕顯示控制,按鈕顯示控制依賴於JavaScript和CSS的協作,9.0,6,['01efe28d0e08e37c1924dd7533dfb367c1ac4af9cc65943cc1eabf88f5dcfbdc8cf5c4f4cc2281b1f4841d39fd9ba04c98d073f02d2324a3f2a55e344880a9fa']
f3ea0f92-0555-4296-9f12-01539a14de4c,53,CSS與JAVASCRIPT的協作關係,動態內容適應,動態內容適應確保了JavaScript生成的內容能夠正確顯示,9.0,5,['01efe28d0e08e37c1924dd7533dfb367c1ac4af9cc65943cc1eabf88f5dcfbdc8cf5c4f4cc2281b1f4841d39fd9ba04c98d073f02d2324a3f2a55e344880a9fa']
1671bcc4-72e9-426a-9e8f-88e96e0abf80,54,CSS與JAVASCRIPT的協作關係,事件處理與視覺反饋,事件處理與視覺反饋是JavaScript和CSS協作的結果,1.0,5,['01efe28d0e08e37c1924dd7533dfb367c1ac4af9cc65943cc1eabf88f5dcfbdc8cf5c4f4cc2281b1f4841d39fd9ba04c98d073f02d2324a3f2a55e344880a9fa']
c9dd71e8-52b9-4962-8efe-ff2e4151da98,55,CSS,JAVASCRIPT,JavaScript 通過修改 CSS 屬性來控制元素的顯示狀態，實現動態效果,8.0,8,['a6767e76d4e5bc6ba7c835c723b3b5e7a5045170bfa2d1237f52eb0136f182088317c7b928288da1af9518dc10f8d005418399360ef1012911e9d07e28631e38']
3b774c5d-e20f-4e10-8db3-bee5b987a450,56,CSS,CODE_MAPPING,Code Mapping 描述了 CSS 樣式的具體實作細節，兩者之間存在直接關聯,1.0,6,['a6767e76d4e5bc6ba7c835c723b3b5e7a5045170bfa2d1237f52eb0136f182088317c7b928288da1af9518dc10f8d005418399360ef1012911e9d07e28631e38']
9514bbf1-0bd3-41c5-9e9e-6176b474674f,57,TODO LIST,BUTTONS,Todo List 模組中的 Buttons 組件用於觸發待辦事項的編輯和儲存操作,6.0,14,['a6767e76d4e5bc6ba7c835c723b3b5e7a5045170bfa2d1237f52eb0136f182088317c7b928288da1af9518dc10f8d005418399360ef1012911e9d07e28631e38']
8436114c-3879-4ae4-aa2b-a63d0b824f6e,58,TODO LIST,TODO-FORM,Todo Form 是 Todo List 模組的一部分，用於添加新的待辦事項,8.0,19,['a6767e76d4e5bc6ba7c835c723b3b5e7a5045170bfa2d1237f52eb0136f182088317c7b928288da1af9518dc10f8d005418399360ef1012911e9d07e28631e38']
3b4a155b-554c-4e20-aa04-b75761972c39,59,TODO-CONTENT,TODO-CARD,todo-content 是 todo-card 中顯示的內容，兩者密切相關,7.0,10,['a6767e76d4e5bc6ba7c835c723b3b5e7a5045170bfa2d1237f52eb0136f182088317c7b928288da1af9518dc10f8d005418399360ef1012911e9d07e28631e38']
f10ccf5b-beb2-4d69-a4e9-e671447f291d,60,TODO CONTENT,TODO FORM,todo-content 和 todo-form 之間的關係是，todo-content 是用於顯示待辦事項內容的區域，而 todo-form 是用於輸入新待辦事項的表單。,7.0,8,['f2707ebde367944271b5fe410e033346fa7aa07bf22370c525eab33d42918733bfabd2e502eb74d2d41768dce676b5ed489cdc17707c881ff5c32114a838f796']
49f92e39-341c-4563-b14c-dc72f905600d,61,CARD BUTTONS,TODO FORM,todo-form 和 card-buttons 之間的關係是，todo-form 包含用於提交和取消操作的按鈕，這些按鈕位於 card-buttons 區域。,6.0,9,['f2707ebde367944271b5fe410e033346fa7aa07bf22370c525eab33d42918733bfabd2e502eb74d2d41768dce676b5ed489cdc17707c881ff5c32114a838f796']
9c72f191-d3f4-4726-ad1e-e9bf05d1dd8a,62,CARD BUTTONS,TODO CARD,todo-card 和 card-buttons 之間的關係是，todo-card 是顯示待辦事項的卡片，而 card-buttons 包含與該卡片相關的操作按鈕。,6.0,12,['f2707ebde367944271b5fe410e033346fa7aa07bf22370c525eab33d42918733bfabd2e502eb74d2d41768dce676b5ed489cdc17707c881ff5c32114a838f796']
985d2b94-6c6c-4fa6-a01d-7abc1ad4ca54,63,EDIT MODE,SAVE,edit-mode 和 save 之間的關係是，edit-mode 控制編輯模式的顯示，而 save 按鈕在編輯模式下顯示以儲存更改。,8.0,9,['f2707ebde367944271b5fe410e033346fa7aa07bf22370c525eab33d42918733bfabd2e502eb74d2d41768dce676b5ed489cdc17707c881ff5c32114a838f796']
917cff29-9ef5-4697-9502-beb2e6c60bae,64,EDIT MODE,CANCEL,edit-mode 和 cancel 之間的關係是，edit-mode 控制編輯模式的顯示，而 cancel 按鈕在編輯模式下顯示以取消更改。,8.0,9,['f2707ebde367944271b5fe410e033346fa7aa07bf22370c525eab33d42918733bfabd2e502eb74d2d41768dce676b5ed489cdc17707c881ff5c32114a838f796']
443c2dfe-655f-4333-9757-56980c977f2e,65,FORM BUTTONS,CARD BUTTONS BUTTON,form-buttons 和 card-buttons button 之間的關係是，form-buttons 定義了表單按鈕的樣式，而 card-buttons button 定義了卡片按鈕的樣式，兩者共享相同的設計原則。,1.0,2,['f2707ebde367944271b5fe410e033346fa7aa07bf22370c525eab33d42918733bfabd2e502eb74d2d41768dce676b5ed489cdc17707c881ff5c32114a838f796']
0362c608-8bfa-40c0-bf45-ed30b75c80dd,66,JAVASCRIPT 模組,HTML 結構,JavaScript 模組透過 DOM API 操作 HTML 結構以控制網頁內容的顯示,8.0,4,['1368fc03d610d71f0a4ebe01b5cf8241f4e22c35a09baa58132436224f4cc44ccfc8538d6058eb4cdd3500e2063f8e87b0c54db161cfad7569fe611ec3c72fe9']
1b6ce49c-5f79-4d54-bada-babbd02b7d54,67,JAVASCRIPT 模組,CSS 類別,JavaScript 模組依賴 CSS 類別來控制視覺狀態,7.0,3,['1368fc03d610d71f0a4ebe01b5cf8241f4e22c35a09baa58132436224f4cc44ccfc8538d6058eb4cdd3500e2063f8e87b0c54db161cfad7569fe611ec3c72fe9']
38793de4-dd16-48ae-9f5a-161b7ec7adfe,68,TODOLIST,RENDERTODOS(),`renderTodos()` 函式依賴 `todoList` 陣列來重新繪製待辦事項,9.0,10,['1368fc03d610d71f0a4ebe01b5cf8241f4e22c35a09baa58132436224f4cc44ccfc8538d6058eb4cdd3500e2063f8e87b0c54db161cfad7569fe611ec3c72fe9']
005f2157-992d-4796-9df5-e841eab8b850,69,TODOLIST,DATA-INDEX,`data-index` 屬性用於識別 `todoList` 中的特定資料項,1.0,8,['1368fc03d610d71f0a4ebe01b5cf8241f4e22c35a09baa58132436224f4cc44ccfc8538d6058eb4cdd3500e2063f8e87b0c54db161cfad7569fe611ec3c72fe9']
013db8e5-43de-4251-a702-6da7c635653f,70,RENDERTODOS(),TODO-LIST,`renderTodos()` 函式清空 `.todo-list` 容器並重新填充待辦事項,8.0,7,['1368fc03d610d71f0a4ebe01b5cf8241f4e22c35a09baa58132436224f4cc44ccfc8538d6058eb4cdd3500e2063f8e87b0c54db161cfad7569fe611ec3c72fe9']
4c448f40-b94e-4615-82cf-d6c3ccc3bf34,71,E.PREVENTDEFAULT(),TODOFORM,在表單提交時，`e.preventDefault()` 用於防止頁面刷新，讓 `todoForm` 可以無刷新更新,9.0,4,['1368fc03d610d71f0a4ebe01b5cf8241f4e22c35a09baa58132436224f4cc44ccfc8538d6058eb4cdd3500e2063f8e87b0c54db161cfad7569fe611ec3c72fe9']
